--- frame ---
9: -275.832977, 174.026825, 2767.280518
10: -86.839233, 184.347809, 2774.612549
11: -298.746490, -266.093567, 2790.003662
13: -277.938324, -658.089355, 2879.613037
12: -77.074173, -262.053192, 2784.347168
14: -66.128197, -666.998047, 2860.157471

--- frame ---
0: -187.437439, 823.202881, 2743.182861
1: -194.178665, 558.939697, 2747.022461
2: -346.964233, 550.452026, 2740.659912
4: -407.909332, 314.157471, 2826.935791
6: -410.420197, 42.497833, 2761.256836
3: -41.393101, 567.427307, 2753.385010
5: 7.041862, 315.912476, 2834.408936
7: 52.045959, 60.156448, 2817.768066
8: -184.232010, 370.708282, 2759.271484
9: -267.726593, 177.285965, 2767.629150
10: -80.844101, 187.667801, 2775.411865
11: -297.517120, -265.730896, 2790.669922
13: -271.507416, -641.657227, 2880.555664
12: -75.879684, -259.177856, 2781.213135
14: -66.965851, -664.308960, 2858.373535

--- frame ---
0: -183.278168, 823.500122, 2741.689941
1: -188.401627, 560.066956, 2745.729492
2: -339.965851, 549.644531, 2737.115967
4: -404.716156, 315.353027, 2821.469971
6: -397.287659, 33.335541, 2738.082031
3: -36.837421, 570.489380, 2754.343018
5: 11.082592, 317.635498, 2839.234619
7: 56.786026, 61.300446, 2827.006836
8: -176.295578, 372.942200, 2759.133057
9: -257.008789, 179.434647, 2767.261719
10: -71.370270, 192.200211, 2777.811523
11: -292.131531, -264.954834, 2792.086182
13: -270.905975, -645.298950, 2884.137695
12: -73.236732, -254.437820, 2778.870117
14: -66.608810, -660.320312, 2856.930176

--- frame ---
0: -175.561966, 823.760254, 2741.922607
1: -180.500854, 559.181824, 2742.904541
2: -335.342987, 550.526123, 2736.371094
4: -401.535309, 316.366272, 2819.732666
6: -386.189972, 40.071259, 2713.508057
3: -25.658726, 567.837585, 2749.437988
5: 23.484932, 314.356628, 2840.764893
7: 70.846436, 51.348145, 2839.553955
8: -170.667480, 372.268982, 2757.482666
9: -250.709351, 180.332077, 2768.268555
10: -70.958847, 190.380173, 2775.853027
11: -287.145813, -261.290710, 2791.346191
13: -270.358002, -644.113220, 2884.803223
12: -69.246338, -255.182907, 2779.488037
14: -66.379669, -659.038940, 2855.700439

--- frame ---
0: -168.254501, 823.030090, 2739.687012
1: -170.634384, 554.944458, 2746.002197
2: -331.924286, 547.299072, 2738.900146
4: -400.986755, 311.749817, 2819.876709
6: -376.004944, 30.384521, 2702.283936
3: -9.344484, 562.589783, 2753.104248
5: 43.413773, 300.714264, 2842.361084
7: 71.974968, 61.201584, 2832.455566
8: -162.355179, 368.235229, 2758.971191
9: -247.208588, 177.111420, 2767.839355
10: -60.943367, 185.940643, 2776.041016
11: -281.392395, -264.914093, 2791.260498
13: -275.416473, -660.171387, 2884.485352
12: -66.430351, -250.292084, 2781.483887
14: -65.306564, -655.382324, 2857.807617

--- frame ---
0: -163.063568, 823.044189, 2740.019531
1: -167.996704, 554.868408, 2745.370117
2: -328.570068, 547.212769, 2739.693115
4: -388.653168, 307.549622, 2814.071533
6: -368.703430, 36.974304, 2678.891113
3: -7.423358, 562.524109, 2751.047119
5: 41.914993, 304.838989, 2842.677979
7: 87.973145, 64.792435, 2849.550293
8: -159.540146, 367.582458, 2758.740723
9: -244.814560, 175.827682, 2768.797607
10: -57.352612, 184.765305, 2775.425049
11: -277.940643, -268.494263, 2791.450928
13: -277.532257, -667.329346, 2884.674072
12: -64.768005, -249.560593, 2783.355957
14: -64.123955, -655.865295, 2859.720703

--- frame ---
0: -152.100662, 823.336060, 2741.351807
1: -159.813065, 555.890076, 2747.416016
2: -320.204376, 549.981323, 2741.759277
4: -382.059387, 306.090393, 2811.685547
6: -359.505005, 48.143433, 2655.451660
